"G1.CEL"	"G2.CEL"	"G3.CEL"	"N1.CEL"	"N2.CEL"	"N3.CEL"	"tp"	"tf"	"pfdr"
"200654_at"	11.0389498724306	10.8994610481443	10.9891593062402	9.43065938960802	9.52232905677636	9.48897429352516	2.49282620445075e-05	0.211275030548948	0.035654845819272
"200665_s_at"	13.0429398365978	12.9410953469914	12.9115969647191	10.5466710297964	10.6509005475877	10.5690357458	2.13342278212293e-06	0.292097136089417	0.0239065293372746
"200699_at"	10.9029319837355	10.92001270788	10.6780229858264	9.43379405822442	9.25898534469415	9.2054560211014	0.00013571581433915	0.220308799472158	0.0494036516341454
"201291_s_at"	9.74420537393567	9.59978889115282	9.5157575212188	7.72215630984973	7.64724886296751	7.43994833277895	6.9671210634281e-05	0.339433335352726	0.0399455613237368
"201699_at"	10.7706529451451	10.7404753951947	10.7441330749607	11.1137961974775	11.1499633173589	11.1254548765963	1.3556583061221e-05	-0.0498476395680631	0.0335555556505355
"201704_at"	9.56324426398501	9.44149003272651	9.39129965157734	10.7599324322851	10.8837137485329	10.8120223281685	6.17255641697697e-05	-0.192781028822592	0.0399455613237368
"202297_s_at"	10.0050103914298	9.97015275276505	10.0400002745717	9.26146178896328	9.33993636668968	9.27443323251474	2.97404387116453e-05	0.106676689183363	0.035654845819272
"202854_at"	10.4647069220335	10.2906847108979	10.2697668595572	11.6567627884501	11.6530623751103	11.8076700344047	8.93709851222445e-05	-0.178751365997246	0.0438956954609739
"202933_s_at"	9.96242122329305	10.0037855509182	9.98820271508156	9.01451440596857	9.04316903752683	8.95787591138797	6.94075355625358e-05	0.148977839846064	0.0399455613237368
"203748_x_at"	9.58168236773151	9.74263665858223	9.6057005278224	8.22937481476772	8.31141443926375	8.18781043339813	4.70519253328542e-05	0.226386752212526	0.0388213237274071
"203989_x_at"	9.11050415438286	9.21216266598708	9.10075145590957	7.43192162573601	7.47410278764411	7.32612157735932	1.01068697319686e-05	0.302761198127659	0.0335555556505355
"204544_at"	9.03748958979524	9.10710757050197	8.97893777998378	8.10341325972534	8.01473857763448	8.03062351158708	5.26168170985443e-05	0.167595185578993	0.0395003320194422
"204739_at"	8.25043242079527	8.20360749847278	8.25134239699739	7.75615011153773	7.69749770526365	7.77345429277389	0.000139714955018681	0.0890162117436653	0.0494036516341454
"204813_at"	8.82911367213311	9.06332469821531	9.02070336408213	10.7770443263205	10.5546740729308	10.773348973189	7.3518337939274e-05	-0.25449021083823	0.0399455613237368
"205019_s_at"	7.7000321782957	7.86300085759133	7.61005070399614	9.42858316626072	9.18927898437384	9.36650839385559	0.000100228606218605	-0.272171254915746	0.0438956954609739
"205514_at"	8.57357922510762	8.61843727332476	8.65337295483696	9.63114653483887	9.53132765010609	9.6265550769538	3.78111102556846e-05	-0.155612201635429	0.0379750663475949
"205899_at"	7.8787813085379	7.75785200532407	7.80424449182182	8.96957522810648	9.00329511447713	9.09264983755832	1.89216230202249e-05	-0.207429519592313	0.035654845819272
"206374_at"	7.53249887679405	7.7473597247747	7.67510446812008	8.99610295585919	8.94861978075195	9.11125642814611	0.00010614488235875	-0.237141342850409	0.0446148970623748
"206375_s_at"	7.65936417848227	7.78982385800575	7.67152767217133	8.82158529225502	8.8696179596537	8.93958559477289	3.54573536421963e-05	-0.203909106537033	0.0379750663475949
"206655_s_at"	7.81395040621518	7.93948885207818	7.94174683414647	9.11242842866121	9.16684325843394	9.26239408783383	3.03423536050057e-05	-0.217021827827633	0.035654845819272
"206690_at"	8.00661640908278	7.93057853337778	7.84533702696383	9.15184610528359	9.16605284610036	9.06661696611711	7.96352770149286e-05	-0.20345806024166	0.0412566294432922
"206803_at"	7.66971278345028	7.62468507593285	7.45615030880275	9.59821559416907	9.76593831447232	9.56304455279029	2.2114405741308e-05	-0.346525300971324	0.035654845819272
"206859_s_at"	7.39231742277876	7.35790427400263	7.38827659915223	7.64289405031088	7.62495244189835	7.61923966169184	0.000123995675461266	-0.047976435139604	0.0476807635411494
"206906_at"	7.48627094230206	7.55981003878049	7.57788213375332	8.54803625071215	8.61498962922153	8.63242130101833	1.063151752303e-05	-0.189264783617548	0.0335555556505355
"207149_at"	7.38621242819279	7.29196352384471	7.38270918125876	8.50077750522049	8.36146831161231	8.47253811822548	6.37069977464814e-05	-0.199628848721976	0.0399455613237368
"208361_s_at"	8.01857111743581	8.05853297570643	8.06881566398048	7.72798417062998	7.74292690631014	7.69582253557418	0.000100492906069474	0.0597247730086539	0.0438956954609739
"208389_s_at"	8.75296926139048	8.97198197607181	9.03335271450826	10.9094431117576	10.7367236360903	10.9342902022047	9.63396287993492e-05	-0.284020163096741	0.0438956954609739
"208463_at"	7.58762192368202	7.535018094948	7.39860118780451	8.70847961908426	8.90327583376121	8.71430655218957	0.000131813057370505	-0.225205390953902	0.048939991317379
"208795_s_at"	8.97634364406327	9.0277385314821	9.14170724036431	8.02892712583853	8.05781339953811	7.92274119097786	9.92977377992241e-05	0.177124177928561	0.0438956954609739
"209225_x_at"	11.2395111513183	11.0999584464354	11.2004951091736	9.71552313982587	9.8330356003812	9.7308167163706	1.5718349483017e-05	0.1959963902413	0.0350157671433171
"210260_s_at"	8.5705341434322	8.64325634373545	8.70240357813154	7.75911144042364	7.71544182781496	7.67723570800486	0.00012414078580539	0.16273018895253	0.0476807635411494
"210787_s_at"	7.55123185416681	7.57340845491438	7.58369056027821	7.97768097110378	7.99473054259953	7.99221101738337	2.80342955982524e-05	-0.077684548601447	0.035654845819272
"210809_s_at"	12.5067787284673	12.8539026333506	12.9826061890116	7.88376335815914	7.69624691331056	7.62013996168321	5.49325659780807e-05	0.724839891291612	0.0395003320194422
"210817_s_at"	10.6349481325363	10.6249740041343	10.5664014240346	9.40660697421546	9.50122774400309	9.42372163388465	1.21960162185474e-05	0.167810656496062	0.0335555556505355
"210948_s_at"	7.98691495329588	7.95637898059818	7.93168996238444	7.55260412653979	7.50155308232773	7.55831079538818	7.00336742050117e-05	0.0783812985564326	0.0399455613237368
"210997_at"	8.16158830117262	8.19887118792247	8.13428519551443	7.56358413261055	7.54411609064537	7.58243944330759	5.76689146748977e-05	0.11040676471392	0.0399455613237368
"211934_x_at"	10.1495264986014	10.0133954899894	10.1368630741808	8.67867326460202	8.64620799846644	8.78499608159535	2.08734654523034e-05	0.214711879330359	0.035654845819272
"211959_at"	13.1577033037716	13.1904168337177	13.0432911732109	11.2442086235437	11.4089753770004	11.4547256900557	5.49674683576204e-05	0.207774764746051	0.0395003320194422
"212371_at"	9.95266935860448	9.76289187845763	9.90236982163957	8.74716656651478	8.64606515483282	8.61571663460812	0.000138278404494222	0.187462798996053	0.0494036516341454
"212416_at"	10.7649268729399	10.6833397168531	10.6871042301753	11.4422264676483	11.508727394253	11.5200491104129	2.88891388097071e-05	-0.101221155964475	0.035654845819272
"212925_at"	7.90294887925005	7.88257454469293	7.86523294826038	8.17640530545316	8.22260011430688	8.18705191103911	9.17288279509258e-05	-0.0559540770555813	0.0438956954609739
"213044_at"	10.4573771251725	10.5020951617668	10.482009609462	9.41657490331596	9.46297935654323	9.47581066237269	3.59680878758964e-06	0.149047492808745	0.0258057820184508
"213664_at"	9.1116026854457	9.29531656920999	9.04364576201347	10.6887644688524	10.5931493196363	10.8204892633029	0.000112893672814026	-0.225845450897087	0.0457260427141466
"213884_s_at"	7.60757688463638	7.65943057447983	7.62866038536011	7.99844990646553	7.9721182096172	8.01081782170749	7.33816951868321e-05	-0.066840390082662	0.0399455613237368
"213996_at"	7.9200550214803	7.99425913422809	7.9788896139736	9.25860531671966	9.17420534733279	9.18575478764528	4.63361889275052e-06	-0.209038072356056	0.0258057820184508
"214306_at"	8.11748239138631	8.23417741505519	8.16137661181084	9.12445871553983	9.03435855684344	9.03347530944245	4.41772942972166e-05	-0.149648588862503	0.0379750663475949
"214656_x_at"	8.29697333255591	8.3009015243819	8.34076025043688	7.9204257878813	7.89261293491928	7.90971721677183	8.67139392372929e-05	0.0721108869850259	0.0438956954609739
"214816_x_at"	7.59901697708908	7.60781238482504	7.61936685379447	7.7701013999288	7.77194507049177	7.75053948609496	7.81556485673274e-05	-0.0291803501011634	0.0412566294432922
"215127_s_at"	9.72570803216858	9.84778470618896	9.84910253655319	8.04085700510217	8.12121134459442	7.91677836907128	4.26366552482741e-05	0.289158213429876	0.0379750663475949
"215448_at"	7.59161777619581	7.518212416595	7.44638008299494	8.3866234201352	8.31547603064262	8.46118489650569	0.00012693427022815	-0.157795539729672	0.0479273684385167
"216929_x_at"	7.32809296528459	7.2924625584712	7.31669264272604	8.06291126136395	8.02271884272885	8.09079496143057	5.24235358373898e-05	-0.140218367267328	0.0395003320194422
"217933_s_at"	11.6564356315126	11.4771197612836	11.7343024216437	9.72675173883978	9.97074041042496	9.85443049924494	7.18744160367379e-05	0.238645736394259	0.0399455613237368
"218088_s_at"	10.1696153144194	10.1602469613761	10.0909472186002	9.60428323395087	9.66907263559637	9.58953658118556	0.000117869188121614	0.0758426589731978	0.0468887839961641
"218248_at"	9.52572151604667	9.38777588574874	9.50280007028987	8.18644044025389	8.01208567726947	8.05818952741077	4.4321574944448e-05	0.228334366508512	0.0379750663475949
"218868_at"	8.12334137093141	7.95899093283383	8.15740329180551	9.2725318794217	9.31248761362649	9.45165760797015	0.000112289470835179	-0.209941409540937	0.0457260427141466
"219140_s_at"	7.79029416772702	7.89562575718696	7.68311485934434	9.94553201926944	10.1167313864257	10.0937732612543	1.17208883767376e-05	-0.367848683796736	0.0335555556505355
"219194_at"	7.68062330998022	7.69843458635479	7.64623441696398	8.04216986643017	8.06520352692137	8.1046889992216	9.46330795314671e-05	-0.0725065019783864	0.0438956954609739
"219736_at"	7.97431897476862	8.085847781952	8.12670444658943	9.17379163779205	9.16674893765627	9.02018912631564	0.000103819893298312	-0.177882551575125	0.0444768415962786
"220826_at"	7.55070958530421	7.56015221161656	7.56890714151857	7.71944227238075	7.7277918344977	7.73234084333153	3.04099326913933e-05	-0.0314481693460699	0.035654845819272
"221272_s_at"	7.92251088275022	7.97799921117286	8.00917542965692	9.52483589911293	9.49660473073986	9.59022750974223	2.14629701820484e-06	-0.259008458365319	0.0239065293372746
"221504_s_at"	10.3744869187444	10.2226466629469	10.35201400599	11.6365031027328	11.5532828892177	11.7188199999251	3.97786069711397e-05	-0.173683072013741	0.0379750663475949
"40472_at"	8.03321233143046	8.09587163155724	7.96207127080856	9.12990215692437	9.2765934818807	9.27430698389761	6.11378569113916e-05	-0.200382199223869	0.0399455613237368
"50965_at"	7.64937301492246	7.7227205194913	7.79963270581487	8.97607170499036	9.11637995174591	8.97016590006795	3.88518532227408e-05	-0.223935861085667	0.0379750663475949
